Run,Group.ID,Sample.ID,Donor,Lineage,Cell_type,Stimulated,Treatment,Replicate,Assay.Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center.Name,Consent,Experiment,GEO_Accession..exp.,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,source_name,SRA.Study
SRR11007117,Calderon-1002-Th17_precursors-Control,Calderon-1002-Th17_precursors-Control-1,Calderon-1002,CD4,Th17_precursors,FALSE,Control,1,RNA-Seq,183,4402838913,PRJNA484735,SAMN09768719,1498324532,GEO,public,SRX4510661,GSM3319810,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319810,primary blood,SRP156452
SRR11007118,Calderon-1002-Th17_precursors-Treatment_1,Calderon-1002-Th17_precursors-Treatment_1-1,Calderon-1002,CD4,Th17_precursors,TRUE,Treatment_1,1,RNA-Seq,179,4457181326,PRJNA484735,SAMN09768718,1427810636,GEO,public,SRX4510662,GSM3319811,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319811,primary blood,SRP156452
SRR11007119,Calderon-1002-Th2_precursors-Control,Calderon-1002-Th2_precursors-Control-1,Calderon-1002,CD4,Th2_precursors,FALSE,Control,1,RNA-Seq,181,6763740326,PRJNA484735,SAMN09768717,2375484419,GEO,public,SRX4510663,GSM3319812,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319812,primary blood,SRP156452
SRR11007120,Calderon-1002-Th2_precursors-Treatment_1,Calderon-1002-Th2_precursors-Treatment_1-1,Calderon-1002,CD4,Th2_precursors,TRUE,Treatment_1,1,RNA-Seq,182,4644609350,PRJNA484735,SAMN09768716,1464389612,GEO,public,SRX4510664,GSM3319813,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319813,primary blood,SRP156452
SRR11007121,Calderon-1002-Mature_NK-Control,Calderon-1002-Mature_NK-Control-1,Calderon-1002,NK,Mature_NK,FALSE,Control,1,RNA-Seq,181,5913471446,PRJNA484735,SAMN09768715,1874520065,GEO,public,SRX4510665,GSM3319814,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319814,primary blood,SRP156452
SRR11007122,Calderon-1002-Mature_NK-Treatment_1,Calderon-1002-Mature_NK-Treatment_1-1,Calderon-1002,NK,Mature_NK,TRUE,Treatment_1,1,RNA-Seq,178,6205803476,PRJNA484735,SAMN09768714,2042710577,GEO,public,SRX4510666,GSM3319815,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319815,primary blood,SRP156452
SRR11007123,Calderon-1002-Memory_NK-Control,Calderon-1002-Memory_NK-Control-1,Calderon-1002,NK,Memory_NK,FALSE,Control,1,RNA-Seq,179,5516844813,PRJNA484735,SAMN09768713,1826028240,GEO,public,SRX4510667,GSM3319816,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319816,primary blood,SRP156452
SRR11007124,Calderon-1002-Monocytes-Control,Calderon-1002-Monocytes-Control-1,Calderon-1002,MYELOID,Monocytes,FALSE,Control,1,RNA-Seq,177,8192097848,PRJNA484735,SAMN09768712,2713620038,GEO,public,SRX4510668,GSM3319817,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319817,primary blood,SRP156452
SRR11007125,Calderon-1002-Monocytes-Treatment_1,Calderon-1002-Monocytes-Treatment_1-1,Calderon-1002,MYELOID,Monocytes,TRUE,Treatment_1,1,RNA-Seq,178,5004881408,PRJNA484735,SAMN09768711,1622336443,GEO,public,SRX4510669,GSM3319818,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319818,primary blood,SRP156452
SRR11007126,Calderon-1002-Myeloid_DCs-Control,Calderon-1002-Myeloid_DCs-Control-1,Calderon-1002,MYELOID,Myeloid_DCs,FALSE,Control,1,RNA-Seq,180,8021072544,PRJNA484735,SAMN09768710,2671876960,GEO,public,SRX4510670,GSM3319819,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319819,primary blood,SRP156452
SRR11007127,Calderon-1003-CD8pos_T-Control,Calderon-1003-CD8pos_T-Control-1,Calderon-1003,CD8,CD8pos_T,FALSE,Control,1,RNA-Seq,201,2573217700,PRJNA484735,SAMN09768705,1028549495,GEO,public,SRX4510675,GSM3319824,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319824,primary blood,SRP156452
SRR11007128,Calderon-1003-CD8pos_T-Treatment_1,Calderon-1003-CD8pos_T-Treatment_1-1,Calderon-1003,CD8,CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,189,10015727474,PRJNA484735,SAMN09768704,3250589487,GEO,public,SRX4510676,GSM3319825,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319825,primary blood,SRP156452
SRR11007129,Calderon-1003-Central_memory_CD8pos_T-Control,Calderon-1003-Central_memory_CD8pos_T-Control-1,Calderon-1003,CD8,Central_memory_CD8pos_T,FALSE,Control,1,RNA-Seq,189,9871830242,PRJNA484735,SAMN09768703,3411958191,GEO,public,SRX4510677,GSM3319826,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319826,primary blood,SRP156452
SRR11007130,Calderon-1003-Central_memory_CD8pos_T-Treatment_1,Calderon-1003-Central_memory_CD8pos_T-Treatment_1-1,Calderon-1003,CD8,Central_memory_CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,184,5838511330,PRJNA484735,SAMN09768702,1895895942,GEO,public,SRX4510678,GSM3319827,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319827,primary blood,SRP156452
SRR11007131,Calderon-1003-Effector_memory_CD8pos_T-Control,Calderon-1003-Effector_memory_CD8pos_T-Control-1,Calderon-1003,CD8,Effector_memory_CD8pos_T,FALSE,Control,1,RNA-Seq,188,1866913031,PRJNA484735,SAMN09768701,691294285,GEO,public,SRX4510679,GSM3319828,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319828,primary blood,SRP156452
SRR11007132,Calderon-1003-Effector_memory_CD8pos_T-Treatment_1,Calderon-1003-Effector_memory_CD8pos_T-Treatment_1-1,Calderon-1003,CD8,Effector_memory_CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,190,12337480832,PRJNA484735,SAMN09768700,4075728785,GEO,public,SRX4510680,GSM3319829,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319829,primary blood,SRP156452
SRR11007133,Calderon-1003-Naive_CD8_T-Control,Calderon-1003-Naive_CD8_T-Control-1,Calderon-1003,CD8,Naive_CD8_T,FALSE,Control,1,RNA-Seq,190,4401390080,PRJNA484735,SAMN09768699,1561281030,GEO,public,SRX4510681,GSM3319830,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319830,primary blood,SRP156452
SRR11007134,Calderon-1003-Naive_CD8_T-Treatment_1,Calderon-1003-Naive_CD8_T-Treatment_1-1,Calderon-1003,CD8,Naive_CD8_T,TRUE,Treatment_1,1,RNA-Seq,192,4870145126,PRJNA484735,SAMN09768698,1666168022,GEO,public,SRX4510682,GSM3319831,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319831,primary blood,SRP156452
SRR11007135,Calderon-1003-Gamma_delta_T-Control,Calderon-1003-Gamma_delta_T-Control-1,Calderon-1003,GD,Gamma_delta_T,FALSE,Control,1,RNA-Seq,179,5748857936,PRJNA484735,SAMN09768697,1879363977,GEO,public,SRX4510683,GSM3319832,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319832,primary blood,SRP156452
SRR11007136,Calderon-1003-Gamma_delta_T-Treatment_1,Calderon-1003-Gamma_delta_T-Treatment_1-1,Calderon-1003,GD,Gamma_delta_T,TRUE,Treatment_1,1,RNA-Seq,192,7954418371,PRJNA484735,SAMN09768696,2738439718,GEO,public,SRX4510684,GSM3319833,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319833,primary blood,SRP156452
SRR11007137,Calderon-1003-Effector_CD4pos_T-Control,Calderon-1003-Effector_CD4pos_T-Control-1,Calderon-1003,CD4,Effector_CD4pos_T,FALSE,Control,1,RNA-Seq,201,266892648,PRJNA484735,SAMN09768695,111613667,GEO,public,SRX4510685,GSM3319834,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319834,primary blood,SRP156452
SRR11007138,Calderon-1003-Effector_CD4pos_T-Treatment_1,Calderon-1003-Effector_CD4pos_T-Treatment_1-1,Calderon-1003,CD4,Effector_CD4pos_T,TRUE,Treatment_1,1,RNA-Seq,190,7691245639,PRJNA484735,SAMN09768694,2491173083,GEO,public,SRX4510686,GSM3319835,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319835,primary blood,SRP156452
SRR11007139,Calderon-1003-Follicular_T_Helper-Control,Calderon-1003-Follicular_T_Helper-Control-1,Calderon-1003,CD4,Follicular_T_Helper,FALSE,Control,1,RNA-Seq,198,6332505675,PRJNA484735,SAMN09768693,2324008223,GEO,public,SRX4510687,GSM3319836,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319836,primary blood,SRP156452
SRR11007140,Calderon-1003-Follicular_T_Helper-Treatment_1,Calderon-1003-Follicular_T_Helper-Treatment_1-1,Calderon-1003,CD4,Follicular_T_Helper,TRUE,Treatment_1,1,RNA-Seq,187,9709033278,PRJNA484735,SAMN09768692,3259817248,GEO,public,SRX4510688,GSM3319837,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319837,primary blood,SRP156452
SRR11007141,Calderon-1003-Memory_Teffs-Control,Calderon-1003-Memory_Teffs-Control-1,Calderon-1003,CD4,Memory_Teffs,FALSE,Control,1,RNA-Seq,201,1348909165,PRJNA484735,SAMN09768691,561135319,GEO,public,SRX4510689,GSM3319838,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319838,primary blood,SRP156452
SRR11007142,Calderon-1003-Memory_Teffs-Treatment_1,Calderon-1003-Memory_Teffs-Treatment_1-1,Calderon-1003,CD4,Memory_Teffs,TRUE,Treatment_1,1,RNA-Seq,188,4607547647,PRJNA484735,SAMN09768690,1632059626,GEO,public,SRX4510690,GSM3319839,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319839,primary blood,SRP156452
SRR11007143,Calderon-1003-Memory_Tregs-Control,Calderon-1003-Memory_Tregs-Control-1,Calderon-1003,CD4,Memory_Tregs,FALSE,Control,1,RNA-Seq,201,2205918075,PRJNA484735,SAMN09768730,854767542,GEO,public,SRX4510691,GSM3319840,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319840,primary blood,SRP156452
SRR11007144,Calderon-1003-Memory_Tregs-Treatment_1,Calderon-1003-Memory_Tregs-Treatment_1-1,Calderon-1003,CD4,Memory_Tregs,TRUE,Treatment_1,1,RNA-Seq,188,2183591562,PRJNA484735,SAMN09768729,695133799,GEO,public,SRX4510692,GSM3319841,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319841,primary blood,SRP156452
SRR11007145,Calderon-1003-Naive_Teffs-Control,Calderon-1003-Naive_Teffs-Control-1,Calderon-1003,CD4,Naive_Teffs,FALSE,Control,1,RNA-Seq,201,1559197986,PRJNA484735,SAMN09768728,648799850,GEO,public,SRX4510693,GSM3319842,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319842,primary blood,SRP156452
SRR11007146,Calderon-1003-Naive_Teffs-Treatment_1,Calderon-1003-Naive_Teffs-Treatment_1-1,Calderon-1003,CD4,Naive_Teffs,TRUE,Treatment_1,1,RNA-Seq,187,7219027222,PRJNA484735,SAMN09768727,2361422153,GEO,public,SRX4510694,GSM3319843,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319843,primary blood,SRP156452
SRR11007147,Calderon-1003-Regulatory_T-Control,Calderon-1003-Regulatory_T-Control-1,Calderon-1003,CD4,Regulatory_T,FALSE,Control,1,RNA-Seq,186,10472977845,PRJNA484735,SAMN09768726,3363147009,GEO,public,SRX4510695,GSM3319844,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319844,primary blood,SRP156452
SRR11007148,Calderon-1003-Regulatory_T-Treatment_1,Calderon-1003-Regulatory_T-Treatment_1-1,Calderon-1003,CD4,Regulatory_T,TRUE,Treatment_1,1,RNA-Seq,188,4283039893,PRJNA484735,SAMN09768450,1366648392,GEO,public,SRX4510696,GSM3319845,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319845,primary blood,SRP156452
SRR11007149,Calderon-1003-Th1_precursors-Control,Calderon-1003-Th1_precursors-Control-1,Calderon-1003,CD4,Th1_precursors,FALSE,Control,1,RNA-Seq,189,5039783276,PRJNA484735,SAMN09768449,1670455559,GEO,public,SRX4510697,GSM3319846,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319846,primary blood,SRP156452
SRR11007151,Calderon-1003-Th1_precursors-Treatment_1,Calderon-1003-Th1_precursors-Treatment_1-1,Calderon-1003,CD4,Th1_precursors,TRUE,Treatment_1,1,RNA-Seq,191,8516884340,PRJNA484735,SAMN09768448,2991625374,GEO,public,SRX4510698,GSM3319847,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319847,primary blood,SRP156452
SRR11007152,Calderon-1003-Th17_precursors-Control,Calderon-1003-Th17_precursors-Control-1,Calderon-1003,CD4,Th17_precursors,FALSE,Control,1,RNA-Seq,192,5082612400,PRJNA484735,SAMN09768447,1819141335,GEO,public,SRX4510699,GSM3319848,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319848,primary blood,SRP156452
SRR11007153,Calderon-1003-Th17_precursors-Treatment_1,Calderon-1003-Th17_precursors-Treatment_1-1,Calderon-1003,CD4,Th17_precursors,TRUE,Treatment_1,1,RNA-Seq,187,11937744567,PRJNA484735,SAMN09768446,3910457761,GEO,public,SRX4510700,GSM3319849,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319849,primary blood,SRP156452
SRR11007154,Calderon-1003-Th2_precursors-Control,Calderon-1003-Th2_precursors-Control-1,Calderon-1003,CD4,Th2_precursors,FALSE,Control,1,RNA-Seq,175,2559175507,PRJNA484735,SAMN09768445,841520438,GEO,public,SRX4510701,GSM3319850,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319850,primary blood,SRP156452
SRR11007155,Calderon-1003-Th2_precursors-Treatment_1,Calderon-1003-Th2_precursors-Treatment_1-1,Calderon-1003,CD4,Th2_precursors,TRUE,Treatment_1,1,RNA-Seq,197,5572653207,PRJNA484735,SAMN09768444,1962833439,GEO,public,SRX4510702,GSM3319851,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319851,primary blood,SRP156452
SRR11007156,Calderon-1003-Mature_NK-Control,Calderon-1003-Mature_NK-Control-1,Calderon-1003,NK,Mature_NK,FALSE,Control,1,RNA-Seq,191,7378878826,PRJNA484735,SAMN09768689,2643181621,GEO,public,SRX4510703,GSM3319852,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319852,primary blood,SRP156452
SRR11007157,Calderon-1003-Mature_NK-Treatment_1,Calderon-1003-Mature_NK-Treatment_1-1,Calderon-1003,NK,Mature_NK,TRUE,Treatment_1,1,RNA-Seq,186,4979664909,PRJNA484735,SAMN09768688,1619702930,GEO,public,SRX4510704,GSM3319853,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319853,primary blood,SRP156452
SRR11007158,Calderon-1003-Monocytes-Control,Calderon-1003-Monocytes-Control-1,Calderon-1003,MYELOID,Monocytes,FALSE,Control,1,RNA-Seq,198,2825685522,PRJNA484735,SAMN09768687,1056477628,GEO,public,SRX4510705,GSM3319854,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319854,primary blood,SRP156452
SRR11007159,Calderon-1003-Monocytes-Treatment_1,Calderon-1003-Monocytes-Treatment_1-1,Calderon-1003,MYELOID,Monocytes,TRUE,Treatment_1,1,RNA-Seq,189,8661311291,PRJNA484735,SAMN09768686,2874567855,GEO,public,SRX4510706,GSM3319855,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319855,primary blood,SRP156452
SRR11007160,Calderon-1004-CD8pos_T-Control,Calderon-1004-CD8pos_T-Control-1,Calderon-1004,CD8,CD8pos_T,FALSE,Control,1,RNA-Seq,185,8803230177,PRJNA484735,SAMN09768682,2876159866,GEO,public,SRX4510710,GSM3319859,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319859,primary blood,SRP156452
SRR11007161,Calderon-1004-CD8pos_T-Treatment_1,Calderon-1004-CD8pos_T-Treatment_1-1,Calderon-1004,CD8,CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,191,10884225708,PRJNA484735,SAMN09768681,3886876531,GEO,public,SRX4510711,GSM3319860,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319860,primary blood,SRP156452
SRR11007162,Calderon-1004-Central_memory_CD8pos_T-Control,Calderon-1004-Central_memory_CD8pos_T-Control-1,Calderon-1004,CD8,Central_memory_CD8pos_T,FALSE,Control,1,RNA-Seq,187,8637344214,PRJNA484735,SAMN09768680,2767206015,GEO,public,SRX4510712,GSM3319861,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319861,primary blood,SRP156452
SRR11007163,Calderon-1004-Central_memory_CD8pos_T-Treatment_1,Calderon-1004-Central_memory_CD8pos_T-Treatment_1-1,Calderon-1004,CD8,Central_memory_CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,183,7812101135,PRJNA484735,SAMN09768679,2528723706,GEO,public,SRX4510713,GSM3319862,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319862,primary blood,SRP156452
SRR11007164,Calderon-1004-Effector_memory_CD8pos_T-Control,Calderon-1004-Effector_memory_CD8pos_T-Control-1,Calderon-1004,CD8,Effector_memory_CD8pos_T,FALSE,Control,1,RNA-Seq,181,10684447835,PRJNA484735,SAMN09768678,3457068027,GEO,public,SRX4510714,GSM3319863,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319863,primary blood,SRP156452
SRR11007165,Calderon-1004-Effector_memory_CD8pos_T-Treatment_1,Calderon-1004-Effector_memory_CD8pos_T-Treatment_1-1,Calderon-1004,CD8,Effector_memory_CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,183,9871966842,PRJNA484735,SAMN09768677,3198985997,GEO,public,SRX4510715,GSM3319864,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319864,primary blood,SRP156452
SRR11007166,Calderon-1004-Naive_CD8_T-Control,Calderon-1004-Naive_CD8_T-Control-1,Calderon-1004,CD8,Naive_CD8_T,FALSE,Control,1,RNA-Seq,180,8938134914,PRJNA484735,SAMN09768676,2906952207,GEO,public,SRX4510716,GSM3319865,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319865,primary blood,SRP156452
SRR11007167,Calderon-1004-Naive_CD8_T-Treatment_1,Calderon-1004-Naive_CD8_T-Treatment_1-1,Calderon-1004,CD8,Naive_CD8_T,TRUE,Treatment_1,1,RNA-Seq,181,6845523829,PRJNA484735,SAMN09768675,2229952725,GEO,public,SRX4510717,GSM3319866,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319866,primary blood,SRP156452
SRR11007168,Calderon-1004-Gamma_delta_T-Control,Calderon-1004-Gamma_delta_T-Control-1,Calderon-1004,GD,Gamma_delta_T,FALSE,Control,1,RNA-Seq,185,3015599178,PRJNA484735,SAMN09768674,972256313,GEO,public,SRX4510718,GSM3319867,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319867,primary blood,SRP156452
SRR11007169,Calderon-1004-Gamma_delta_T-Treatment_1,Calderon-1004-Gamma_delta_T-Treatment_1-1,Calderon-1004,GD,Gamma_delta_T,TRUE,Treatment_1,1,RNA-Seq,185,9670777036,PRJNA484735,SAMN09768673,3134300314,GEO,public,SRX4510719,GSM3319868,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319868,primary blood,SRP156452
SRR11007170,Calderon-1004-Effector_CD4pos_T-Control,Calderon-1004-Effector_CD4pos_T-Control-1,Calderon-1004,CD4,Effector_CD4pos_T,FALSE,Control,1,RNA-Seq,180,8369487195,PRJNA484735,SAMN09768672,2703738225,GEO,public,SRX4510720,GSM3319869,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319869,primary blood,SRP156452
SRR11007171,Calderon-1004-Effector_CD4pos_T-Treatment_1,Calderon-1004-Effector_CD4pos_T-Treatment_1-1,Calderon-1004,CD4,Effector_CD4pos_T,TRUE,Treatment_1,1,RNA-Seq,187,3638974595,PRJNA484735,SAMN09768671,1197653548,GEO,public,SRX4510721,GSM3319870,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319870,primary blood,SRP156452
SRR11007172,Calderon-1004-Follicular_T_Helper-Control,Calderon-1004-Follicular_T_Helper-Control-1,Calderon-1004,CD4,Follicular_T_Helper,FALSE,Control,1,RNA-Seq,186,6941937712,PRJNA484735,SAMN09768670,2257629684,GEO,public,SRX4510722,GSM3319871,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319871,primary blood,SRP156452
SRR11007173,Calderon-1004-Follicular_T_Helper-Treatment_1,Calderon-1004-Follicular_T_Helper-Treatment_1-1,Calderon-1004,CD4,Follicular_T_Helper,TRUE,Treatment_1,1,RNA-Seq,189,6414902705,PRJNA484735,SAMN09768669,2259209975,GEO,public,SRX4510723,GSM3319872,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319872,primary blood,SRP156452
SRR11007174,Calderon-1004-Memory_Teffs-Control,Calderon-1004-Memory_Teffs-Control-1,Calderon-1004,CD4,Memory_Teffs,FALSE,Control,1,RNA-Seq,188,9504517159,PRJNA484735,SAMN09768404,3028899320,GEO,public,SRX4510724,GSM3319873,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319873,primary blood,SRP156452
SRR11007175,Calderon-1004-Memory_Teffs-Treatment_1,Calderon-1004-Memory_Teffs-Treatment_1-1,Calderon-1004,CD4,Memory_Teffs,TRUE,Treatment_1,1,RNA-Seq,187,7191234715,PRJNA484735,SAMN09768403,2490902699,GEO,public,SRX4510725,GSM3319874,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319874,primary blood,SRP156452
SRR11007176,Calderon-1004-Memory_Tregs-Control,Calderon-1004-Memory_Tregs-Control-1,Calderon-1004,CD4,Memory_Tregs,FALSE,Control,1,RNA-Seq,187,6455505450,PRJNA484735,SAMN09768668,2071771521,GEO,public,SRX4510726,GSM3319875,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319875,primary blood,SRP156452
