Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,treatment
SRR11909966,30-40,ATAC-seq,152,2391124920,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087013,Human,1054359967,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456492,HiSeq X Ten,D1,noEC4h-D1-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,noEC4h-D1-2,female,SRP265675,blood,noEC 4h challenge Donor 1-2
SRR11909967,30-40,ATAC-seq,152,2477862048,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087012,Human,1083958996,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456491,HiSeq X Ten,D1,noEC4h-D1-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,noEC4h-D1-1,female,SRP265675,blood,noEC 4h challenge Donor 1-1
SRR11909968,30-40,ATAC-seq,152,2498197824,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087011,Human,1115380142,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456490,HiSeq X Ten,D1,noEC1h-D1-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,noEC1h-D1-2,female,SRP265675,blood,noEC 1h challenge Donor 1-2
SRR11909969,30-40,ATAC-seq,152,2563653128,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087010,Human,1148715351,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456489,HiSeq X Ten,D1,noEC1h-D1-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,noEC1h-D1-1,female,SRP265675,blood,noEC 1h challenge Donor 1-1
SRR11909970,30-40,ATAC-seq,152,2277961984,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087009,Human,1000682602,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456488,HiSeq X Ten,D1,EC4h-D1-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,EC4h-D1-2,female,SRP265675,blood,EC 4h challenge Donor 1-2
SRR11909971,30-40,ATAC-seq,152,2668427488,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087008,Human,1163566569,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456487,HiSeq X Ten,D1,EC4h-D1-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,EC4h-D1-1,female,SRP265675,blood,EC 4h challenge Donor 1-1
SRR11909972,30-40,ATAC-seq,152,2721653632,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087007,Human,1277342235,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456486,HiSeq X Ten,D1,EC1h-D1-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,EC1h-D1-2,female,SRP265675,blood,EC 1h challenge Donor 1-2
SRR11909973,30-40,ATAC-seq,152,3014956024,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087006,Human,1391970372,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456485,HiSeq X Ten,D1,EC1h-D1-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,EC1h-D1-1,female,SRP265675,blood,EC 1h challenge Donor 1-1
SRR11909974,30-40,ATAC-seq,152,3752191440,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087005,Human,1440497391,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456484,HiSeq X Ten,D1,SA-D1-10-5-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,SA-D1-10-5-2,female,SRP265675,blood,SA challenge 10^5 Donor 1-2
SRR11909975,30-40,ATAC-seq,152,3848938528,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087004,Human,1470028311,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456483,HiSeq X Ten,D1,SA-D1-10-5-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,SA-D1-10-5-1,female,SRP265675,blood,SA challenge 10^5 Donor 1-1
SRR11909976,30-40,ATAC-seq,152,1666207432,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086986,Human,644141320,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456482,HiSeq X Ten,D1,CTRL-D1-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,CTRL-D1-1,female,SRP265675,blood,Control Donor 1-1
SRR11909977,30-40,ATAC-seq,152,3666592640,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087003,Human,1377961396,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456481,HiSeq X Ten,D1,SA-D1-10-3-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,SA-D1-10-3-2,female,SRP265675,blood,SA challenge 10^3 Donor 1-2
SRR11909978,30-40,ATAC-seq,152,3458920208,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087002,Human,1282886501,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456480,HiSeq X Ten,D1,SA-D1-10-3-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,SA-D1-10-3-1,female,SRP265675,blood,SA challenge 10^3 Donor 1-1
SRR11909979,30-40,ATAC-seq,152,2756393840,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087001,Human,1051679769,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456479,HiSeq X Ten,D1,SA-D1-10-1-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,SA-D1-10-1-2,female,SRP265675,blood,SA challenge 10^1 Donor 1-2
SRR11909980,30-40,ATAC-seq,152,5328919512,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087000,Human,2022034352,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456478,HiSeq X Ten,D1,SA-D1-10-1-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,SA-D1-10-1-1,female,SRP265675,blood,SA challenge 10^1 Donor 1-1
SRR11909981,30-40,ATAC-seq,152,3959065872,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086999,Human,1495180057,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456477,HiSeq X Ten,D1,WB-D1-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,WB-D1-2,female,SRP265675,blood,Whole Blood Donor 1-2
SRR11909982,30-40,ATAC-seq,152,3998914952,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086998,Human,1504743447,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456476,HiSeq X Ten,D1,WB-D1-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,WB-D1-1,female,SRP265675,blood,Whole Blood Donor 1-1
SRR11909983,30-40,ATAC-seq,152,1401006648,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086997,Human,559804432,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456475,HiSeq X Ten,D1,R848-D1-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,R848-D1-2,female,SRP265675,blood,R848 challenge Donor 1-2
SRR11909984,30-40,ATAC-seq,152,2355485176,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086996,Human,928221071,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456474,HiSeq X Ten,D1,R848-D1-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,R848-D1-1,female,SRP265675,blood,R848 challenge Donor 1-1
SRR11909985,30-40,ATAC-seq,152,1548496200,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086995,Human,607089308,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456473,HiSeq X Ten,D1,LTA-D1-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,LTA-D1-2,female,SRP265675,blood,LTA challenge Donor 1-2
SRR11909986,30-40,ATAC-seq,152,1929941416,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086994,Human,758570386,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456472,HiSeq X Ten,D1,LTA-D1-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,LTA-D1-1,female,SRP265675,blood,LTA challenge Donor 1-1
SRR11909987,30-40,ATAC-seq,152,901220008,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086985,Human,357516417,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456471,HiSeq X Ten,D1,BGP-D1-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,BGP-D1-2,female,SRP265675,blood,BGP challenge Donor 1-2
SRR11909988,30-40,ATAC-seq,152,1115825464,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086984,Human,438113097,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456470,HiSeq X Ten,D1,BGP-D1-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,BGP-D1-1,female,SRP265675,blood,BGP challenge Donor 1-1
